"ID","Empresa / Operador","Proyecto Principal","Provincia","Mineral","Inversion Est (USD)","Pagina Web","Contacto LinkedIn Empresa","5 Personas Clave a Contactar (Nombre, Cargo & LinkedIn)","Empleados Totales (Arg / Global)","Empleados IT / Sistemas","Employer Rating (1-10)","Atractivo Laboral / ¿Es de las mejores para trabajar?","Oportunidad Tecnica Bromteck"
"11","Glencore (MARA)","Agua Rica / Alumbrera","Catamarca","Cobre / Oro","$3.100 M","https://maraproyecto.com.ar","https://www.linkedin.com/company/proyecto-mara/","1. Nicolás Bareta (General Manager MARA) | 2. Roberto Dalmazzo (Dir. Operaciones) | 3. Santiago Velo (Gerente Innovación/IT) | 4. Carina Peralta (Gerente RRHH) | 5. Eduardo Morales (Superint. Eléctrico)","~2.800 Arg","~35-45 IT","8.9","Excelente: Reutilización de la infraestructura de Bajo de la Alumbrera. Salarios sólidos corporativos Glencore y gran complejidad técnica.","Pérdidas en cinta transportadora de 35 km y subestaciones de 220 kV."
"12","Barrick Gold & Shandong Gold","Veladero","San Juan","Oro / Plata","$400 M","https://www.barrick.com","https://www.linkedin.com/company/barrick-gold-corporation/","1. Marcelo Alvarez (Dir. Asuntos Corp Sudamérica) | 2. Alberto Abecasis (Gerente General Veladero) | 3. Cristian Vallerino (Head of IT LatAm) | 4. Jimena Daneri (Gerente Cap. Humano) | 5. Raul Quiroga (Superint. Comms/IT)","~4.000 Arg / 21.000 Global","~50-70 IT","9.3","Top Tier (Una de las mejores para trabajar): Líder en salarios de minería, máxima seguridad internacional y alta tecnología en San Juan.","Auditoría metrológica en línea transfronteriza 110 kV y campamento."
"13","Fortuna Silver / Mansfield","Lindero","Salta","Oro","$450 M","https://www.fortunamining.com","https://www.linkedin.com/company/mansfield-minera-s-a-/","1. Wilber Aza (VP Operaciones Fortuna) | 2. Facundo Huidobro (Gerente Inst. Mansfield) | 3. David Silva (Gerente General Mina) | 4. Martin Benitez (Jefe IT Faena) | 5. Soledad Perez (Gerente RRHH)","~1.100 Arg / 6.500 Global","~15-22 IT","8.5","Muy Bueno: Operador canadiense consolidado en Salta. Clima laboral estable, operaciones continuas de lixiviación de oro en la Puna.","Monitoreo en BT de plantas de chancado secundario y refinación."
"14","Newmont Mining","Cerro Negro","Santa Cruz","Oro / Plata","$540 M","https://www.newmont.com","https://www.linkedin.com/company/newmont-corporation/","1. Marcelo Campos (Gerente General Cerro Negro) | 2. Maria Eugenia Sampalione (Dir. Rel. Externas) | 3. Daniel Viqueira (Manager IT/OT Systems) | 4. Roxana Gonzalez (Dir. RRHH South America) | 5. Gustavo Vargas (Superint. Automatización Subterránea)","~3.200 Arg / 32.000 Global","~45-60 IT","9.4","Top #1 Mundial en Oro (De las mejores empresas para trabajar): Paquete salarial de elite en Patagonia, cultura diversa e innovación subterránea.","Detección de fuga energética en ventilación y bombas subterráneas."
"15","Tecpetrol (Techint) / Alpha","Sal de los Ángeles","Salta","Litio","$800 M","https://www.tecpetrol.com","https://www.linkedin.com/company/tecpetrol/","1. Ricardo Markous (CEO Tecpetrol) | 2. Leonardo Decarre (VP Transición Energética) | 3. Alejandro Martinez (Gerente IT Techint) | 4. Florencia Rossi (Gerente RRHH) | 5. Hernan Silva (Gerente Operaciones Litio)","~800 Arg (Litio) / 18.000 Techint","~80+ IT","9.2","Excelente: Pertenecer al Grupo Techint garantiza máxima solidez institucional, excelentes sueldos petroleros/mineros y escuela tecnológica.","Arquitectura de medición inteligente para campamentos industriales."
"16","Ganfeng Lithium","Pozuelos-Pastos Grandes","Salta","Litio","$900 M","https://www.ganfenglithium.com","https://www.linkedin.com/company/ganfeng-lithium/","1. Jason Luo (Presidente Argentina) | 2. Manuel Gomez (Director Proyecto Pastos Grandes) | 3. Chen Min (Gerente Técnico Automatización) | 4. Lucas Fernandez (Jefe IT/Telecomunicaciones) | 5. Andrea Juarez (Coordinadora Reclutamiento)","~950 Arg / 20.000 Global","~18-25 IT","8.1","Bueno: Proyecto unificado de dos salares gigantes en Salta. Crecimiento dinámico y fuerte inversión directa.","Balanceo de cargas dinámico en redes compartidas entre salares."
"17","Aldebaran / Sibanye-Stillwater","Altar","San Juan","Cobre / Oro","$1.800 M","https://aldebaranresources.com","https://www.linkedin.com/company/aldebaran-resources-inc-/","1. John Black (CEO Aldebaran) | 2. Javier Robeto (Gerente Exploración Arg) | 3. Laura Bandoni (Gerente Admin/RRHH) | 4. Nicolas Gomez (Líder GIS/IT) | 5. Sergio Morales (Superint. Logística/Energía)","~350 Arg / 850 Global","~10-15 IT","8.6","Muy Bueno para Emprendimiento Técnico: Respaldo de Sibanye-Stillwater. Proyecto en fase de factibilidad con gran potencial de ascenso laboral.","Pérdidas técnicas en trazados de MT en alta montaña (Calingasta)."
"18","Eramet / Eramine (Tsingshan)","Centenario-Ratones","Salta","Litio","$870 M","https://www.eramine.com.ar","https://www.linkedin.com/company/eramine-sudamerica-sa/","1. Constance Kowalewski (CEO Eramine) | 2. Daniel Chavez Diaz (Senior Advisor) | 3. Juan Carlos Palma (Director Operaciones DLE) | 4. Guillaume Laffont (Head of IT/Digital LatAm) | 5. Carola Diez (Gerente RRHH)","~1.600 Arg / 10.000 Global","~30-40 IT","9.1","Excelente: Pioneros europeos en DLE en Salta. Cultura corporativa francesa con gran equilibrio laboral, tecnología limpia y salarios top.","Control metrológico en módulos de extracción directa y electrodiálisis."
"19","AngloGold Ashanti / Cerrado Gold","Cerro Vanguardia","Santa Cruz","Oro / Plata","$300 M","https://www.anglogoldashanti.com","https://www.linkedin.com/company/anglogold-ashanti/","1. Luis Rivera (VP Argentina / GM) | 2. Gonzalo Echegaray (Gerente Operaciones) | 3. Mauricio Bustos (Manager Systems/IT) | 4. Vanina Canteros (Gerente RRHH) | 5. Fabian Ramirez (Superint. Mantenimiento Eléctrico)","~1.800 Arg / 31.000 Global","~25-35 IT","8.9","Muy Alto: Trayectoria histórica intachable en Santa Cruz, ambiente de trabajo muy seguro, excelentes beneficios y estabilidad.","Tablero dinámico de seguimiento de pérdidas no técnicas en faena."
"20","Galan Lithium","Hombre Muerto Oeste (HMW)","Catamarca","Litio","$450 M","https://galanlithium.com.au","https://www.linkedin.com/company/galan-lithium-limited/","1. Juan Pablo Vargas de la Vega (Managing Director) | 2. Pablo Alurralde (Presidente Galan Argentina) | 3. Claudia Valenzuela (Gerente Corp/RRHH) | 4. Hernan Martinez (Jefe IT/Comms) | 5. Tomas Garcia (Superint. Proyecto HMW)","~400 Arg / 700 Global","~10-15 IT","8.4","Muy Atractivo para Construir desde Cero: Empresa australiana ágil con rápido armado de equipo en Catamarca. Oportunidad de liderazgo temprano.","Supervisión en bombas de alta presión y trazado eléctrico de piletas."
